##NAMES=Gold
##RRUFFID=R070279
##IDEAL CHEMISTRY=Au
##LOCALITY=Agua Fria Canyon Mine, Mariposa County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gold yellow thin nugget
##DIFFRACTION SAMPLE DESCRIPTION=Hammered into thin foil
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070279
##MEASURED CHEMISTRY=(Au_0.985_Ag_0.010_Cu_0.005_)_Σ=1_
##CELL PARAMETERS=a: 4.0792(2) b: 4.0792(2) c: 4.0792(2) alpha: 90 beta: 90 gamma: 90 volume: 67.879(9) crystal system: cubic
8.200000, 2.049393
8.210000, 16.91816
8.220000, 14.88589
8.230000, 5.853815
8.240000, 20.92269
8.250000, 16.89095
8.260000, 13.78554
8.270000, 21.75415
8.280000, 8.722933
8.290000, 15.68804
8.300000, 12.65723
8.310000, 13.63181
8.320000, 19.60138
8.330000, 5.571131
8.340000, 11.54107
8.350000, 9.511185
8.360000, 7.481861
8.370000, 8.452717
8.380000, 3.423809
8.390000, 8.351469
8.400000, 9.150990
8.410000, 4.354080
8.420000, 13.32595
8.430000, 7.298004
8.440000, 24.27068
8.450000, 13.24399
8.460000, 10.20541
8.470000, 11.17910
8.480000, 16.15350
8.490000, 5.130665
8.500000, 11.02956
8.510000, 17.00455
8.520000, 3.979723
8.530000, 18.95510
8.540000, 7.930676
8.550000, 15.90645
8.560000, 12.88242
8.570000, 5.858591
8.580000, 14.83693
8.590000, 14.81349
8.600000, 0.7902550
8.610000, 13.76722
8.620000, 4.744381
8.630000, 16.72174
8.640000, 7.699577
8.650000, 16.67788
8.660000, 19.65638
8.670000, 8.635136
8.680000, 16.61409
8.690000, 7.593245
8.700000, 21.57260
8.710000, 20.54432
8.720000, 9.276009
8.730000, 6.256252
8.740000, 14.23672
8.750000, 4.218735
8.760000, 6.201019
8.770000, 10.18380
8.780000, 2.166794
8.790000, 14.15001
8.800000, 21.22937
8.810000, 13.21301
8.820000, 6.196861
8.830000, 24.18092
8.840000, 19.16520
8.850000, 7.147924
8.860000, 7.088959
8.870000, 11.84365
8.880000, 9.828789
8.890000, 5.764868
8.900000, 14.75046
8.910000, 21.77166
8.920000, 15.75771
8.930000, 15.74456
8.940000, 12.73164
8.950000, 16.71894
8.960000, 23.70647
8.970000, 17.69423
8.980000, 11.77210
8.990000, 14.76031
9.000000, 10.74874
9.010000, 8.737459
9.020000, 4.726393
9.030000, 3.715546
9.040000, 12.70492
9.050000, 10.69452
9.060000, 13.68461
9.070000, 13.67493
9.080000, 21.66546
9.090000, 6.656214
9.100000, 18.64724
9.110000, 12.63853
9.120000, 11.63005
9.130000, 6.621771
9.140000, 20.61371
9.150000, 9.605862
